Temperature,Correlation,ID,Comparison
320,0.4980196637888051,1sk7A00,AlphaFold
320,0.6840129382990062,1bo7A00,AlphaFold
320,0.8686879925378035,1uapA00,AlphaFold
320,0.8862384744939849,1j7mA00,AlphaFold
320,0.8531851422498106,1b06A01,AlphaFold
320,0.8070615177874948,1a48A01,AlphaFold
320,0.8695905779681393,1gqoB00,AlphaFold
320,0.7299407188033871,1lucB00,AlphaFold
320,0.9607388270932332,1jbiA00,AlphaFold
320,0.8261367440540474,1c5eA00,AlphaFold
320,0.8571455422804852,1um8A02,AlphaFold
320,0.9223543331206112,1mkfA01,AlphaFold
320,0.90850543569606,1ti2A01,AlphaFold
320,0.7347353707885972,1dy2A00,AlphaFold
320,0.7825912825126475,1bagA01,AlphaFold
320,0.9503547498839592,1gvhA01,AlphaFold
320,0.7830471740875717,1lkoA01,AlphaFold
320,0.9613382358974076,1hpgA02,AlphaFold
320,0.9288097978960176,1iyuA00,AlphaFold
320,0.8983765762049871,1sznA02,AlphaFold
320,0.7840188666878105,1eq6A00,AlphaFold
320,0.946542780816673,1gyxA01,AlphaFold
320,0.8058010104845267,1mnmC00,AlphaFold
320,0.6310746846972092,1jj2A03,AlphaFold
320,0.8407957822569782,1pqwA00,AlphaFold
320,0.8882148313178752,1kx3D00,AlphaFold
320,0.9474230978877928,1sxrA00,AlphaFold
320,0.5860034391297595,1a39A00,AlphaFold
320,0.8579027418027142,1hk5A03,AlphaFold
320,0.6897412115848328,1k70A02,AlphaFold
320,0.717062169151713,1cb5A01,AlphaFold
320,0.6953251507798313,1gxmB00,AlphaFold
320,0.888503544799148,1q5zA00,AlphaFold
320,0.9555304606199344,1ow4A00,AlphaFold
320,0.9380453693440396,1pv4B01,AlphaFold
320,0.8768191423976796,1jbjA02,AlphaFold
320,0.8996360110602526,1sknP00,AlphaFold
320,0.6774285286861845,1bgqA00,AlphaFold
320,0.7570774231053147,1ghsA00,AlphaFold
320,0.9821830437430996,1gccA00,AlphaFold
320,0.210561509835237,1khcA01,AlphaFold
320,0.851434735623503,1ry9A00,AlphaFold
320,0.7714428597918852,1jw3A00,AlphaFold
320,0.8136293443183451,1tyeA00,AlphaFold
320,0.6328934784324014,1c5kA02,AlphaFold
320,0.9138380828008348,1k8kF00,AlphaFold
320,0.842729464531493,1b2rA02,AlphaFold
320,0.8731551691573367,1eerA00,AlphaFold
320,0.5771637695835881,1ceeB00,AlphaFold
320,0.8880037488985124,1tuaA01,AlphaFold
320,0.5726107801550977,1d2nA02,AlphaFold
320,0.7253083345683,1gwyA00,AlphaFold
320,0.7089828128915033,1j78A05,AlphaFold
320,0.689226173125035,1qhhA00,AlphaFold
320,0.9268299211801424,1l3wA03,AlphaFold
320,0.9362755172674454,1inlC02,AlphaFold
320,0.7849019819870664,1gz1A00,AlphaFold
320,0.9249808401062928,1k32A01,AlphaFold
320,0.9105174495910188,1svpA01,AlphaFold
320,0.4265880640369157,1iq8A02,AlphaFold
320,0.9441319414022156,1c30A08,AlphaFold
320,0.9764206533145396,1e0bA00,AlphaFold
320,0.9253969528655784,1c3gA01,AlphaFold
320,0.9859908722807912,1sqpF00,AlphaFold
320,0.3865343434006215,1s5lH00,AlphaFold
320,0.6227522826057706,1u60A00,AlphaFold
320,0.9312574030359276,1eb6A00,AlphaFold
320,0.3934956078425657,1uh4A02,AlphaFold
320,0.4975320561278256,1a3dA00,AlphaFold
320,0.7439126298343016,1jswA02,AlphaFold
320,0.7342651962548229,1dkiA02,AlphaFold
320,0.9135227691088156,1ng6A02,AlphaFold
320,0.9462238346492028,1l7yA00,AlphaFold
320,0.7279975978027782,1c7sA02,AlphaFold
320,0.8453424791413581,1ffsB00,AlphaFold
320,0.8842577669555567,1lm8V01,AlphaFold
320,0.8905661476113099,1g7uA00,AlphaFold
320,0.9090120075299216,1cywA00,AlphaFold
320,0.5944172706860105,1dh3A00,AlphaFold
320,0.5941594907029558,1oygA01,AlphaFold
320,0.8771758963072009,1gntA02,AlphaFold
320,0.8207462707298181,1o82A00,AlphaFold
320,0.8373154982237659,1jl5A00,AlphaFold
320,0.9690634838654556,1ihvA00,AlphaFold
320,0.7676743543604494,1fwxA01,AlphaFold
320,0.8197604869029711,1gjsA00,AlphaFold
320,0.9311653127224688,1qwzA00,AlphaFold
320,0.8257522404420693,1rzuA02,AlphaFold
320,0.8045915303314399,1dl5A01,AlphaFold
320,0.765028595058509,1ca1A01,AlphaFold
320,0.9188715940258686,1qexA03,AlphaFold
320,0.9024903608072667,1hsjB03,AlphaFold
320,0.9345767218163392,1c8uA01,AlphaFold
320,0.7732864002155834,1ceuA00,AlphaFold
320,0.887386732600537,1fohA03,AlphaFold
320,0.8869244203298794,1h7zA00,AlphaFold
320,0.8787594912486907,1n3kA00,AlphaFold
320,0.9238907936492574,1tezA01,AlphaFold
320,0.8399712484193481,1ryuA00,AlphaFold
320,0.89592909553575,1mzvA00,AlphaFold
320,0.6175646530018665,1pe4A00,AlphaFold
320,0.9439233745150928,1mabB01,AlphaFold
320,0.7452621626351636,1g86A00,AlphaFold
320,0.898023382530053,1dpgA02,AlphaFold
320,0.8654818976470439,1eakA01,AlphaFold
320,0.6275765215323724,1gcyA02,AlphaFold
320,0.7714290735995205,1tltA02,AlphaFold
320,0.819452456758402,1o0sA02,AlphaFold
320,0.8926758685341579,1l3gA00,AlphaFold
320,0.285836815199177,1c7sA04,AlphaFold
320,0.5742490881967047,1escA00,AlphaFold
320,0.4083947180667531,1rv9A00,AlphaFold
320,0.6825465033185022,1h67A00,AlphaFold
